tipo,Nombre_de_la_Serie,valor,categoria
66_años_o_mas,2012/01,0,
66_años_o_mas,2012/02,0,
66_años_o_mas,2012/03,0,
66_años_o_mas,2012/04,1,
66_años_o_mas,2012/05,0,
66_años_o_mas,2012/06,0,
66_años_o_mas,2012/07,0,
66_años_o_mas,2012/08,0,
66_años_o_mas,2012/09,0,
66_años_o_mas,2012/10,0,
66_años_o_mas,2012/11,0,
66_años_o_mas,2012/12,0,
66_años_o_mas,2013/01,0,
66_años_o_mas,2013/02,0,
66_años_o_mas,2013/03,0,
66_años_o_mas,2013/04,0,
66_años_o_mas,2013/05,1,
66_años_o_mas,2013/06,0,
66_años_o_mas,2013/07,0,
66_años_o_mas,2013/08,0,
66_años_o_mas,2013/09,0,
66_años_o_mas,2013/10,1,
66_años_o_mas,2013/11,0,
66_años_o_mas,2013/12,0,
66_años_o_mas,2014/01,0,
66_años_o_mas,2014/02,0,
66_años_o_mas,2014/03,0,
66_años_o_mas,2014/04,0,
66_años_o_mas,2014/05,0,
66_años_o_mas,2014/06,0,
66_años_o_mas,2014/07,1,
66_años_o_mas,2014/08,0,
66_años_o_mas,2014/09,0,
66_años_o_mas,2014/10,1,
66_años_o_mas,2014/11,1,
66_años_o_mas,2014/12,1,
66_años_o_mas,2015/01,0,
66_años_o_mas,2015/02,3,
66_años_o_mas,2015/03,0,
66_años_o_mas,2015/04,0,
66_años_o_mas,2015/05,1,
66_años_o_mas,2015/06,0,
66_años_o_mas,2015/07,0,
66_años_o_mas,2015/08,0,
66_años_o_mas,2015/09,1,
66_años_o_mas,2015/10,0,
66_años_o_mas,2015/11,0,
66_años_o_mas,2015/12,0,
66_años_o_mas,2016/01,0,
66_años_o_mas,2016/02,0,
66_años_o_mas,2016/03,0,
66_años_o_mas,2016/04,0,
66_años_o_mas,2016/05,0,
66_años_o_mas,2016/06,0,
66_años_o_mas,2016/07,0,
66_años_o_mas,2016/08,0,
66_años_o_mas,2016/09,0,
66_años_o_mas,2016/10,0,
66_años_o_mas,2016/11,1,
66_años_o_mas,2016/12,0,
66_años_o_mas,2017/01,0,
66_años_o_mas,2017/02,0,
66_años_o_mas,2017/03,0,
66_años_o_mas,2017/04,1,
66_años_o_mas,2017/05,0,
66_años_o_mas,2017/06,0,
66_años_o_mas,2017/07,0,
66_años_o_mas,2017/08,0,
66_años_o_mas,2017/09,1,
66_años_o_mas,2017/10,0,
66_años_o_mas,2017/11,0,
66_años_o_mas,2017/12,0,
66_años_o_mas,2018/01,0,
66_años_o_mas,2018/02,0,
66_años_o_mas,2018/03,0,
66_años_o_mas,2018/04,0,
66_años_o_mas,2018/05,0,
66_años_o_mas,2018/06,0,
66_años_o_mas,2018/07,0,
66_años_o_mas,2018/08,0,
66_años_o_mas,2018/09,0,
66_años_o_mas,2018/10,0,
66_años_o_mas,2018/11,0,
66_años_o_mas,2018/12,0,
66_años_o_mas,2019/01,0,
66_años_o_mas,2019/02,0,
66_años_o_mas,2019/03,0,
66_años_o_mas,2019/04,0,
66_años_o_mas,2019/05,0,
66_años_o_mas,2019/06,0,
66_años_o_mas,2019/07,0,
66_años_o_mas,2019/08,0,
66_años_o_mas,2019/09,0,
66_años_o_mas,2019/10,0,
66_años_o_mas,2019/11,0,
66_años_o_mas,2019/12,0,
66_años_o_mas,2020/01,0,
66_años_o_mas,2020/02,0,
66_años_o_mas,2020/03,0,
66_años_o_mas,2020/04,0,
66_años_o_mas,2020/05,0,
66_años_o_mas,2020/06,0,
66_años_o_mas,2020/07,0,
66_años_o_mas,2020/08,0,
66_años_o_mas,2020/09,0,
Aguascalientes,2012/01,25,estado
Aguascalientes,2012/02,333,estado
Aguascalientes,2012/03,504,estado
Aguascalientes,2012/04,136,estado
Aguascalientes,2012/05,109,estado
Aguascalientes,2012/06,137,estado
Aguascalientes,2012/07,57,estado
Aguascalientes,2012/08,30,estado
Aguascalientes,2012/09,37,estado
Aguascalientes,2012/10,150,estado
Aguascalientes,2012/11,69,estado
Aguascalientes,2012/12,0,estado
Aguascalientes,2013/01,151,estado
Aguascalientes,2013/02,71,estado
Aguascalientes,2013/03,190,estado
Aguascalientes,2013/04,291,estado
Aguascalientes,2013/05,225,estado
Aguascalientes,2013/06,116,estado
Aguascalientes,2013/07,190,estado
Aguascalientes,2013/08,176,estado
Aguascalientes,2013/09,137,estado
Aguascalientes,2013/10,94,estado
Aguascalientes,2013/11,179,estado
Aguascalientes,2013/12,234,estado
Aguascalientes,2014/01,32,estado
Aguascalientes,2014/02,104,estado
Aguascalientes,2014/03,179,estado
Aguascalientes,2014/04,130,estado
Aguascalientes,2014/05,193,estado
Aguascalientes,2014/06,216,estado
Aguascalientes,2014/07,211,estado
Aguascalientes,2014/08,263,estado
Aguascalientes,2014/09,246,estado
Aguascalientes,2014/10,308,estado
Aguascalientes,2014/11,362,estado
Aguascalientes,2014/12,513,estado
Aguascalientes,2015/01,81,estado
Aguascalientes,2015/02,378,estado
Aguascalientes,2015/03,350,estado
Aguascalientes,2015/04,524,estado
Aguascalientes,2015/05,335,estado
Aguascalientes,2015/06,277,estado
Aguascalientes,2015/07,17,estado
Aguascalientes,2015/08,30,estado
Aguascalientes,2015/09,42,estado
Aguascalientes,2015/10,100,estado
Aguascalientes,2015/11,174,estado
Aguascalientes,2015/12,735,estado
Aguascalientes,2016/01,28,estado
Aguascalientes,2016/02,334,estado
Aguascalientes,2016/03,253,estado
Aguascalientes,2016/04,262,estado
Aguascalientes,2016/05,181,estado
Aguascalientes,2016/06,453,estado
Aguascalientes,2016/07,172,estado
Aguascalientes,2016/08,126,estado
Aguascalientes,2016/09,154,estado
Aguascalientes,2016/10,268,estado
Aguascalientes,2016/11,197,estado
Aguascalientes,2016/12,22,estado
Aguascalientes,2017/01,0,estado
Aguascalientes,2017/02,301,estado
Aguascalientes,2017/03,97,estado
Aguascalientes,2017/04,114,estado
Aguascalientes,2017/05,270,estado
Aguascalientes,2017/06,229,estado
Aguascalientes,2017/07,253,estado
Aguascalientes,2017/08,185,estado
Aguascalientes,2017/09,129,estado
Aguascalientes,2017/10,54,estado
Aguascalientes,2017/11,214,estado
Aguascalientes,2017/12,167,estado
Aguascalientes,2018/01,17,estado
Aguascalientes,2018/02,121,estado
Aguascalientes,2018/03,96,estado
Aguascalientes,2018/04,116,estado
Aguascalientes,2018/05,176,estado
Aguascalientes,2018/06,187,estado
