serie,periodo,centro,centro norte,norte,sur,Hasta_20_anios,De_21_a_25_anios,De_26_a_30_anios,De_31_a_35_anios,De_36_a_40_anios,De_41_a_45_anios,De_46_a_50_anios,De_51_a_55_anios,De_56_a_60_anios,De_61_a_65_anios,Hasta_02_UMA,Mas_de_02_y_hasta_04_UMA,Mas_de_04_y_hasta_06_UMA,Mas_de_06_y_hasta_08_UMA,Mas_de_08_y_hasta_10_UMA,Mas_de_10_y_hasta_15_UMA,Mas_de_15_y_hasta_20_UMA,Mas_de_20_y_hasta_25_UMA,Mas_de_25_UMA,Vivienda_Economica,Vivienda_Media,Vivienda_Otros,Vivienda_Popular,Vivienda_Residencial,Vivienda_Residencial_Plus,Vivienda_Tradicional,Total_nacional,variacion
2012/01,201201,7212,6403,10521,3699,131,3175,5858,5327,4791,3397,2474,1516,699,117,4102,9475,5102,2709,1604,2095,1199,1540,0,510,2277,6812,10652,609,100,6875,27835,0
2012/02,201202,12074,9978,18343,6401,367,6625,10059,8922,8140,5690,3618,2001,882,147,15008,14948,6015,3260,1925,2495,1375,1769,1,1353,2585,9088,24876,753,167,7974,46796,18961
2012/03,201203,15098,11867,20314,7985,437,7826,12143,10807,9311,6655,4230,2335,945,149,17519,18225,7268,3787,2248,2783,1471,1963,0,1577,2971,10278,29723,874,209,9632,55264,8468
2012/04,201204,10971,8565,12644,5051,287,4716,7989,7061,6323,4616,3219,1762,762,127,9509,12340,5708,3065,1818,2137,1145,1509,0,1017,2436,8085,17251,681,163,7598,37231,-18033
2012/05,201205,16617,10875,17616,6179,337,6754,10675,10053,8720,6457,4454,2379,976,173,12452,18004,7783,4201,2453,2973,1456,1964,1,1255,3412,11006,24321,948,194,10151,51287,14056
2012/06,201206,19350,12318,19480,8275,437,7804,12813,11588,10233,7324,4858,2538,1175,203,15649,20334,8811,4783,2857,3274,1641,2072,2,1254,3821,12104,29151,955,239,11899,59423,8136
2012/07,201207,15924,10199,17727,6903,371,6554,10670,9812,8548,6399,4257,2500,1118,152,11531,17308,7972,4472,2735,3117,1580,2038,0,1149,3894,12161,21702,945,223,10679,50753,-8670
2012/08,201208,14399,9937,19620,7341,346,7053,11462,10070,8631,6059,3924,2323,981,146,11375,19395,7970,4106,2276,2816,1511,1848,0,804,3215,14377,21834,842,177,10048,51297,544
2012/09,201209,13286,9793,19088,7102,330,7000,11097,9879,8059,5719,3744,2175,884,128,12352,18754,7161,3527,2080,2429,1356,1610,0,727,2683,15352,21211,712,145,8439,49269,-2028
2012/10,201210,14017,11152,21346,7895,347,7403,11876,10644,9045,6527,4463,2533,1106,148,13085,20431,8125,4123,2375,2800,1584,1887,0,831,2979,19902,20264,837,181,9416,54410,5141
2012/11,201211,12232,9613,18704,6673,271,6171,10277,9305,7785,5654,4030,2347,1008,151,9563,18021,7536,3858,2296,2835,1360,1751,2,625,2731,19491,14345,782,136,9112,47222,-7188
2012/12,201212,13477,9491,17813,6785,322,6684,11002,9457,7641,5587,3679,2062,858,108,8074,18198,8196,4123,2518,3028,1604,1824,1,734,3191,14054,17261,847,173,11306,47566,344
2013/01,201301,11297,10662,16396,7043,346,6709,9938,8961,7618,5341,3415,1841,762,96,15061,16236,5408,2769,1554,1969,1009,1392,0,913,2104,14007,21976,660,125,5613,45398,-2168
2013/02,201302,10377,9558,18905,5392,314,6207,9417,8377,7089,5514,3735,2182,983,142,10050,17268,6720,3234,1903,2238,1278,1541,0,905,2207,20321,13975,569,128,6127,44232,-1166
2013/03,201303,12575,10095,19542,6266,331,6997,10338,9425,8020,5805,3924,2371,951,131,13467,18437,6747,3233,1851,2199,1138,1406,0,912,2155,19483,18569,570,141,6648,48478,4246
